"DTXSID","name","product_name","general_category","product_type","minimum_weight_fraction","maximum_weight_fraction","reported_functional_use","harmonized_medium","reported_species","description","detected"
"DTXSID2021995","usgs_groundwater","10 hour insect repellent_ 2210",NA,NA,NA,NA,"active ingredient","drinking water",NA,NA,126
"DTXSID2021995","usgs_groundwater","10 hour insect repellent_ 2210",NA,NA,NA,NA,"active ingredient","groundwater",NA,NA,792
"DTXSID2021995","usgs_groundwater","10 hour insect repellent_ 2210",NA,NA,NA,NA,"active ingredient","landfill leachate",NA,NA,171
"DTXSID2021995","usgs_groundwater","10 hour insect repellent_ 2210",NA,NA,NA,NA,"active ingredient","other-environmental",NA,NA,36
"DTXSID2021995","usgs_groundwater","10 hour insect repellent_ 2210",NA,NA,NA,NA,"active ingredient","surface water",NA,NA,162
"DTXSID2021995","usgs_groundwater","10 hour insect repellent_ 2210",NA,NA,NA,NA,"SKINPROTECTING","drinking water",NA,NA,126
"DTXSID2021995","usgs_groundwater","10 hour insect repellent_ 2210",NA,NA,NA,NA,"SKINPROTECTING","groundwater",NA,NA,792
"DTXSID2021995","usgs_groundwater","10 hour insect repellent_ 2210",NA,NA,NA,NA,"SKINPROTECTING","landfill leachate",NA,NA,171
"DTXSID2021995","usgs_groundwater","10 hour insect repellent_ 2210",NA,NA,NA,NA,"SKINPROTECTING","other-environmental",NA,NA,36
"DTXSID2021995","usgs_groundwater","10 hour insect repellent_ 2210",NA,NA,NA,NA,"SKINPROTECTING","surface water",NA,NA,162
"DTXSID2021995","usgs_groundwater","11718-85-121 cutter trick repellent","Pesticides","insect repellent - skin",NA,NA,"active ingredient","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater","11718-85-121 cutter trick repellent","Pesticides","insect repellent - skin",NA,NA,"active ingredient","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater","11718-85-121 cutter trick repellent","Pesticides","insect repellent - skin",NA,NA,"active ingredient","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater","11718-85-121 cutter trick repellent","Pesticides","insect repellent - skin",NA,NA,"active ingredient","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater","11718-85-121 cutter trick repellent","Pesticides","insect repellent - skin",NA,NA,"active ingredient","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater","11718-85-121 cutter trick repellent","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater","11718-85-121 cutter trick repellent","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater","11718-85-121 cutter trick repellent","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater","11718-85-121 cutter trick repellent","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater","11718-85-121 cutter trick repellent","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater","11810-024 off aerosol",NA,NA,NA,NA,"active ingredient","drinking water",NA,NA,14
"DTXSID2021995","usgs_groundwater","11810-024 off aerosol",NA,NA,NA,NA,"active ingredient","groundwater",NA,NA,88
"DTXSID2021995","usgs_groundwater","11810-024 off aerosol",NA,NA,NA,NA,"active ingredient","landfill leachate",NA,NA,19
"DTXSID2021995","usgs_groundwater","11810-024 off aerosol",NA,NA,NA,NA,"active ingredient","other-environmental",NA,NA,4
"DTXSID2021995","usgs_groundwater","11810-024 off aerosol",NA,NA,NA,NA,"active ingredient","surface water",NA,NA,18
"DTXSID2021995","usgs_groundwater","11810-024 off aerosol",NA,NA,NA,NA,"SKINPROTECTING","drinking water",NA,NA,14
"DTXSID2021995","usgs_groundwater","11810-024 off aerosol",NA,NA,NA,NA,"SKINPROTECTING","groundwater",NA,NA,88
"DTXSID2021995","usgs_groundwater","11810-024 off aerosol",NA,NA,NA,NA,"SKINPROTECTING","landfill leachate",NA,NA,19
"DTXSID2021995","usgs_groundwater","11810-024 off aerosol",NA,NA,NA,NA,"SKINPROTECTING","other-environmental",NA,NA,4
"DTXSID2021995","usgs_groundwater","11810-024 off aerosol",NA,NA,NA,NA,"SKINPROTECTING","surface water",NA,NA,18
"DTXSID2021995","usgs_groundwater","11830-2-3 off! skintastic",NA,NA,NA,NA,"active ingredient","drinking water",NA,NA,42
"DTXSID2021995","usgs_groundwater","11830-2-3 off! skintastic",NA,NA,NA,NA,"active ingredient","groundwater",NA,NA,264
"DTXSID2021995","usgs_groundwater","11830-2-3 off! skintastic",NA,NA,NA,NA,"active ingredient","landfill leachate",NA,NA,57
"DTXSID2021995","usgs_groundwater","11830-2-3 off! skintastic",NA,NA,NA,NA,"active ingredient","other-environmental",NA,NA,12
"DTXSID2021995","usgs_groundwater","11830-2-3 off! skintastic",NA,NA,NA,NA,"active ingredient","surface water",NA,NA,54
"DTXSID2021995","usgs_groundwater","11830-2-3 off! skintastic",NA,NA,NA,NA,"SKINPROTECTING","drinking water",NA,NA,42
"DTXSID2021995","usgs_groundwater","11830-2-3 off! skintastic",NA,NA,NA,NA,"SKINPROTECTING","groundwater",NA,NA,264
